ProductID,Category,Subcategory,Brand,ProductFeatures,Price (INR),Festivals,Seasons
P058,Toys & Games,Remote Control,Traxxas,"Slash 4x4 RC Truck, 1/10 Scale",756,"Holi, Eid, Christmas","Spring, Summer"
P059,Fashion,Luggage,Samsonite,"Winfield 2 Hardside Spinner, 28-inch",247,Holi,"Winter, Spring, Summer"
P060,Electronics,Keyboards,Logitech,"MX Keys Wireless Keyboard, Backlit",19593,"Diwali, Holi, Baisakhi","Summer, Monsoon, Winter"
P061,Electronics,Projectors,Epson,"Home Cinema 2250, 4K PRO-UHD, 3000 Lumens",49487,Christmas,"Monsoon, Winter, Summer"
P062,Books,Fantasy,Tor Books,"The Way of Kings by Brandon Sanderson, Hardcover",996,"Ganesh Chaturthi, Pongal","Monsoon, Spring"
P063,Clothing,Winter Hats,The North Face,"Thermoball Eco Beanie, Fleece Lined",601,"Christmas, Diwali","Spring, Monsoon, Autumn"
P064,Beauty,Lipstick,Mac,"Matte Lipstick, Ruby Woo, Long-Lasting",716,"Pongal, Navratri","Autumn, Winter, Monsoon"
P065,Home & Kitchen,Cookware,Le Creuset,"Dutch Oven, 5.5qt, Ceramic Coated",859,"Christmas, Pongal, Holi","Summer, Autumn, Winter"
P066,Sports & Outdoors,Hiking,Merrell,"Moab 3 Hiking Shoes, Waterproof, Mens Size 11",798,"Diwali, Holi, Eid","Winter, Spring"
P067,Groceries,Snack Bars,RXBAR,"Chocolate Sea Salt, 12-Pack, No Added Sugar",306,Christmas,"Summer, Spring"
P068,Toys & Games,STEM Toys,LEGO,"Mindstorms Robot Inventor Kit, 949 Pieces",129,"Pongal, Diwali","Autumn, Spring, Summer"
P069,Fashion,Belts,Gucci,"GG Supreme Web Belt, Gold Buckle, Size 90",384,"Navratri, Eid, Holi","Summer, Monsoon, Winter"
P070,Electronics,External Hard Drives,Seagate,"Backup Plus 5TB, USB 3.0, Portable",14119,Diwali,"Monsoon, Summer"
P071,Electronics,Smart Home,Google,"Nest Learning Thermostat, Programmable",11338,"Holi, Onam, Ganesh Chaturthi","Monsoon, Summer"
P072,Books,History,Random House,"A People's History of the United States, Paperback",1420,Raksha Bandhan,"Spring, Autumn"
P073,Clothing,Yoga Pants,Lululemon,"Align High-Rise Pant, Womens Size 6, Nulu Fabric",889,"Eid, Baisakhi, Holi","Monsoon, Autumn"
P074,Beauty,Face Mask,Glow Recipe,"Watermelon Glow Sleeping Mask, 2.5oz",383,"Navratri, Holi, Diwali","Winter, Monsoon"
P075,Home & Kitchen,Microwaves,Panasonic,"1.2cu ft Countertop Microwave, 1100W",690,"Ganesh Chaturthi, Navratri, Diwali","Spring, Monsoon, Winter"
P076,Sports & Outdoors,Fitness,TRX,"All-in-One Suspension Training Kit, Home Gym",456,"Holi, Onam","Monsoon, Winter"
P077,Groceries,Honey,Sue Bee,"Pure Clover Honey, 32oz Squeeze Bottle",923,"Holi, Diwali","Summer, Autumn, Spring"
P078,Toys & Games,Action Figures,Marvel,"Avengers Endgame Titan Hero Series, 12-inch",513,"Navratri, Baisakhi, Holi","Autumn, Summer"
P079,Fashion,Wallets,Fossil,"Mens Bi-Fold Wallet, RFID Blocking, Leather",338,Raksha Bandhan,"Monsoon, Autumn"
P080,Electronics,Earbuds,Apple,"AirPods Pro (2nd Gen), Noise Cancelling, MagSafe",13085,Christmas,"Summer, Monsoon"
P081,Electronics,Gaming Chairs,Secretlab,"Titan Evo 2022, Leather, Adjustable Lumbar",28507,"Holi, Raksha Bandhan","Summer, Monsoon"
P082,Books,Romance,Avon,"The Spanish Love Deception, Paperback",468,"Eid, Ganesh Chaturthi","Monsoon, Spring, Winter"
P083,Clothing,Socks,Bombas,"Merino Wool Hiking Socks, Cushioned, Mens Size 9-11",626,"Ganesh Chaturthi, Navratri","Spring, Autumn, Summer"
P084,Beauty,Eye Cream,Kiehl's,"Avocado Eye Cream, Hydrating, 0.5oz",908,"Diwali, Christmas, Holi","Winter, Autumn, Summer"
P085,Home & Kitchen,Food Storage,OXO,"10-Piece Pop Container Set, Airtight",459,Diwali,"Spring, Winter, Monsoon"
P086,Sports & Outdoors,Fishing,Shimano,"Stradic FL Spinning Reel, Saltwater Ready",297,"Diwali, Ganesh Chaturthi","Monsoon, Winter, Summer"
P087,Groceries,Nuts,Blue Diamond,"Almonds, Smokehouse Flavor, 16oz Can",998,"Raksha Bandhan, Diwali, Navratri","Monsoon, Summer, Autumn"
P088,Toys & Games,Plush Toys,Squishmallows,"16-inch Cam the Cat, Ultra-Soft",559,"Holi, Ganesh Chaturthi","Summer, Spring"
P089,Fashion,Hats,New Era,"MLB New York Yankees 59FIFTY Fitted Cap, Black",182,Diwali,"Winter, Autumn, Monsoon"
P090,Electronics,Tablet Accessories,Apple,"Apple Pencil (2nd Gen), Magnetic Charging",3309,Raksha Bandhan,"Monsoon, Summer"
P091,Electronics,VR Headsets,Meta,"Meta Quest 3, 128GB, Mixed Reality",6373,"Eid, Onam","Summer, Monsoon, Winter"
P092,Books,Self-Help,Penguin,"Atomic Habits by James Clear, Paperback",978,"Diwali, Holi, Baisakhi","Monsoon, Autumn, Winter"
P093,Clothing,Base Layers,Patagonia,"Capilene Midweight Top, Mens Size Large",813,Pongal,"Monsoon, Winter, Summer"
P094,Beauty,Body Lotion,Nivea,"Intensive Care, 48-Hour Moisture, 16.9oz",480,Holi,"Winter, Spring, Autumn"
P095,Home & Kitchen,Air Purifiers,Dyson,"Pure Cool TP07, HEPA Filter, Wi-Fi Enabled",157,Raksha Bandhan,"Winter, Spring"
P096,Sports & Outdoors,Water Bottles,Hydro Flask,"32oz Wide Mouth, Vacuum Insulated",443,"Christmas, Ganesh Chaturthi","Autumn, Monsoon, Spring"
P097,Groceries,Crackers,Cheez-It,"Original Baked Snack Crackers, 21oz",997,"Navratri, Holi, Diwali","Winter, Autumn, Monsoon"
P098,Toys & Games,Model Kits,Revell,"Apollo Saturn V Rocket Model, 1:144 Scale",576,"Pongal, Onam, Ganesh Chaturthi","Spring, Summer, Winter"
P099,Fashion,Scarves,Burberry,"Classic Check Cashmere Scarf, Beige",974,"Holi, Raksha Bandhan, Onam","Autumn, Summer, Monsoon"
P100,Electronics,Chargers,Anker,"USB-C 100W Charger, GaN Technology, 4 Ports",43178,"Pongal, Christmas, Ganesh Chaturthi","Winter, Summer, Monsoon"
P101,Electronics,Webcams,Logitech,"C922 Pro Stream Webcam, 1080p, Built-in Mic",1563,"Diwali, Pongal, Raksha Bandhan","Monsoon, Summer"
P102,Books,Poetry,Penguin Classics,"The Odyssey by Homer, Paperback, Translated",1109,"Diwali, Raksha Bandhan","Winter, Monsoon, Spring"
P103,Clothing,Underwear,Calvin Klein,"Cotton Stretch Boxer Briefs, 3-Pack",714,"Diwali, Ganesh Chaturthi","Monsoon, Spring, Autumn"
P104,Beauty,Nail Polish,Essie,"Gel Couture Longwear, Ballet Slippers, 0.5oz",583,"Raksha Bandhan, Holi, Christmas","Monsoon, Autumn"
P105,Home & Kitchen,Mixers,KitchenAid,"Artisan Series 5-Qt Stand Mixer, Empire Red",340,"Holi, Raksha Bandhan, Ganesh Chaturthi","Monsoon, Winter"
P106,Sports & Outdoors,Skateboarding,Element,"Maple Wood Complete Skateboard, 8-inch",677,"Christmas, Raksha Bandhan","Autumn, Monsoon"
P107,Groceries,Spices,McCormick,"Grill Mates Montreal Steak Seasoning, 21oz",200,"Ganesh Chaturthi, Diwali","Spring, Monsoon, Winter"
P108,Toys & Games,Card Games,UNO,"Classic Card Game, Family-Friendly, 108 Cards",491,"Eid, Holi, Baisakhi","Monsoon, Summer, Winter"
P109,Fashion,Ties,Tom Ford,"Silk Necktie, Slim Fit, Navy Blue",508,"Eid, Pongal, Ganesh Chaturthi","Spring, Autumn"
P110,Electronics,Power Banks,RAVPower,"26800mAh Portable Charger, USB-C PD 30W",47737,"Christmas, Navratri","Winter, Summer"
P111,Electronics,Smart Lights,Philips Hue,White & Color Ambiance LED Starter Kit,43917,Ganesh Chaturthi,"Summer, Winter, Monsoon"
P112,Books,Travel Guides,Lonely Planet,"Japan Travel Guide, 15th Edition",469,"Navratri, Diwali, Raksha Bandhan","Spring, Winter, Autumn"
P113,Clothing,Scrubs,FIGS,"V-Neck Scrub Top, Womens Size Small, Stretch Fabric",551,Holi,"Spring, Autumn"
P114,Beauty,Shampoo,Head & Shoulders,"Dandruff Shampoo, Smooth & Silky, 28oz",261,"Diwali, Ganesh Chaturthi, Baisakhi","Monsoon, Autumn, Spring"
P115,Home & Kitchen,Cutlery,Henckels,Forged Premio 15-Piece Knife Block Set,921,"Baisakhi, Onam, Eid","Monsoon, Spring"
P116,Sports & Outdoors,Baseball,Wilson,"MLB Official Baseball, Synthetic Leather",883,"Diwali, Onam, Eid","Spring, Summer"
P117,Groceries,Peanut Butter,Jif,"Creamy Peanut Butter, 40oz Jar",369,"Baisakhi, Pongal, Holi","Summer, Autumn"
P118,Toys & Games,Science Kits,National Geographic,"Break Open 10 Geodes, STEM Kit",675,Eid,"Monsoon, Spring, Summer"
P119,Fashion,Briefcases,Tumi,"Alpha 3 Expandable Briefcase, Ballistic Nylon",648,"Pongal, Holi","Summer, Monsoon"
P120,Electronics,Graphic Tablets,Wacom,"Intuos Pro Large, Bluetooth, Pressure Sensitive",8489,"Diwali, Ganesh Chaturthi","Summer, Monsoon, Winter"
P121,Electronics,Security Cameras,Ring,"Floodlight Cam Wired Pro, Motion Detection",38363,Onam,"Winter, Summer, Monsoon"
P122,Books,Art & Photography,Taschen,Vincent van Gogh: The Complete Paintings,855,"Raksha Bandhan, Ganesh Chaturthi","Spring, Winter, Autumn"
P123,Clothing,Jackets,Canada Goose,"Expedition Parka, Arctic-Tech Fabric, Mens XL",801,"Diwali, Ganesh Chaturthi","Winter, Summer"
P124,Beauty,Face Wash,La Roche-Posay,"Toleriane Hydrating Gentle Cleanser, 13.5oz",577,"Baisakhi, Diwali","Spring, Autumn, Winter"
P125,Home & Kitchen,Dehumidifiers,hOmeLabs,"4,500 Sq Ft Capacity, 50-Pint, Quiet",101,"Navratri, Pongal","Autumn, Summer"
P126,Sports & Outdoors,Tennis,Wilson,Pro Staff RF97 v13 Tennis Racket,392,"Raksha Bandhan, Ganesh Chaturthi","Monsoon, Autumn, Winter"
P127,Groceries,Trail Mix,Planters,"Nuts & Chocolate, 34oz Canister",118,"Eid, Holi, Christmas","Winter, Monsoon, Summer"
P128,Toys & Games,Building Sets,Magna-Tiles,"Clear Colors 100-Piece Set, Magnetic",936,Christmas,"Summer, Monsoon"
P129,Fashion,Slippers,Ugg,"Scuffette II Slippers, Womens Size 7, Shearling",891,"Pongal, Onam","Spring, Summer"
P130,Electronics,Microphones,Blue Yeti,"USB Microphone, Cardioid Pattern, Plug & Play",41752,"Navratri, Christmas","Summer, Winter"
P131,Electronics,Routers,TP-Link,"Archer AX6000, Wi-Fi 6, Dual-Band",16068,"Ganesh Chaturthi, Raksha Bandhan","Monsoon, Winter"
P132,Books,Business,Portfolio,"The Lean Startup by Eric Ries, Paperback",181,"Christmas, Pongal, Holi","Winter, Spring, Autumn"
P133,Clothing,Dresses,Reformation,"Satin Slip Dress, Womens Size 4, Mid-Length",890,"Eid, Diwali","Winter, Summer, Monsoon"
P134,Beauty,Serum,The Ordinary,"Hyaluronic Acid 2% + B5, 1oz",952,"Ganesh Chaturthi, Diwali","Spring, Winter"
P135,Home & Kitchen,Blinds,Blinds.com,"Cordless Light Filtering Cellular Shades, 36x48",177,Navratri,"Winter, Monsoon, Summer"
P136,Sports & Outdoors,Soccer,Adidas,"Copa Mundial Soccer Cleats, Leather, Mens 10",537,"Navratri, Holi, Ganesh Chaturthi","Monsoon, Summer"
P137,Groceries,Chips,Lays,"Classic Potato Chips, Family Size, 10oz",162,"Diwali, Pongal","Spring, Summer"
P138,Toys & Games,Dinosaur Toys,Schleich,"T-Rex Dinosaur Figure, Realistic Detailing",785,Eid,"Autumn, Summer, Spring"
P139,Fashion,Pajamas,Victoria's Secret,"Cotton Pajama Set, Womens Size Medium",789,Diwali,"Summer, Winter, Monsoon"
P140,Electronics,SSD,Samsung,"980 PRO 2TB NVMe M.2 SSD, 7,000MB/s",7291,Navratri,"Winter, Summer, Monsoon"
P141,Electronics,Smart Plugs,Amazon,"Smart Plug, Works with Alexa, 4-Pack",24289,Christmas,"Summer, Winter"
P142,Books,Manga,Viz Media,"Demon Slayer: Kimetsu no Yaiba, Vol. 1",870,"Holi, Ganesh Chaturthi","Autumn, Spring"
P143,Clothing,Skirts,Zara,"Pleated Midi Skirt, Womens Size 6, Polyester",339,Diwali,"Winter, Autumn, Monsoon"
P144,Beauty,Eye Shadow,Urban Decay,"Naked3 Palette, 12 Rosy Neutral Shades",885,"Diwali, Navratri, Raksha Bandhan","Autumn, Summer"
P145,Home & Kitchen,Grills,Weber,"Spirit II E-310 Gas Grill, 3 Burners",481,"Raksha Bandhan, Baisakhi, Navratri","Autumn, Spring, Summer"
P146,Sports & Outdoors,Swimming,Speedo,"Vanquisher 2.0 Swim Goggles, Anti-Fog",291,"Holi, Christmas","Winter, Summer"
P147,Groceries,Energy Drinks,Monster,"Original Green, 16oz Can, 24-Pack",585,Holi,"Monsoon, Spring"
P148,Toys & Games,Puppets,Folkmanis,"Gray Wolf Hand Puppet, Realistic Design",757,"Eid, Diwali, Baisakhi","Autumn, Monsoon"
P149,Fashion,Backpacks,Herschel,"Little America Backpack, 25L, Water-Resistant",281,Christmas,"Autumn, Summer"
P150,Electronics,Cables,Belkin,"USB-C to HDMI Cable, 6ft, 4K 60Hz",16274,"Raksha Bandhan, Eid, Diwali","Monsoon, Winter"
P151,Electronics,Solar Panels,Jackery,"SolarSaga 100W, Foldable, Portable",49762,"Diwali, Holi, Navratri","Winter, Monsoon"
P152,Books,Graphic Novels,DC Comics,"Batman: The Killing Joke, Deluxe Edition",1010,"Raksha Bandhan, Holi, Baisakhi","Autumn, Spring, Winter"
P153,Clothing,Shorts,Under Armour,"Mens Tech 9-inch Shorts, Moisture-Wicking",494,"Raksha Bandhan, Ganesh Chaturthi","Autumn, Spring, Summer"
P154,Beauty,Deodorant,Dove,"0% Aluminum, Sensitive Skin, 3.8oz",566,"Ganesh Chaturthi, Eid, Holi","Winter, Summer"
P155,Home & Kitchen,Curtains,IKEA,"Ritva Blackout Curtains, 57x98-inch, Pair",209,Eid,"Autumn, Monsoon, Winter"
P156,Sports & Outdoors,Boxing,Everlast,"Pro Style Training Gloves, Mens Large",302,"Christmas, Diwali","Spring, Summer"
P157,Groceries,Water,Evian,"Natural Spring Water, 1.5L Bottles, 12-Pack",404,"Diwali, Holi","Summer, Winter"
P158,Toys & Games,Magic Kits,Melissa & Doug,"Magic Set with 10 Tricks, Age 8+",629,"Pongal, Raksha Bandhan, Navratri","Summer, Spring"
P159,Fashion,Shawls,Hermès,"Twilly Silk Scarf, Hand-Rolled Edges",307,"Diwali, Navratri","Autumn, Spring, Winter"
P160,Electronics,Calculators,Texas Instruments,TI-84 Plus CE Graphing Calculator,11791,"Navratri, Diwali, Eid","Monsoon, Summer, Winter"
P161,Electronics,VR Accessories,Oculus,"Meta Quest 2 Elite Strap, Adjustable",4479,Eid,"Monsoon, Winter"
P162,Books,Religion,Zondervan,"NIV Study Bible, Hardcover, Full-Color Maps",984,"Ganesh Chaturthi, Diwali","Monsoon, Autumn"
P163,Clothing,T-Shirts,Uniqlo,"Supima Cotton Crew Neck, Mens Size Medium",306,"Eid, Ganesh Chaturthi, Navratri","Spring, Summer, Autumn"
P164,Beauty,Body Wash,Dove,"Deep Moisture Body Wash, 22oz Pump",915,"Pongal, Raksha Bandhan","Winter, Monsoon"
P165,Home & Kitchen,Food Processors,Cuisinart,14-Cup Elemental Food Processor,874,"Diwali, Raksha Bandhan","Summer, Autumn, Spring"
P166,Sports & Outdoors,Cycling,Giro,"Synthe MIPS Road Bike Helmet, Matte Black",164,Diwali,"Monsoon, Summer, Spring"
P167,Groceries,Yogurt,Chobani,"Greek Yogurt, Mixed Berry, 32oz Tub",314,"Ganesh Chaturthi, Onam, Holi","Summer, Winter"
P168,Toys & Games,Bubbles,Gazillion,"Bubble Hurricane Machine, 8-Ounce Solution",702,"Ganesh Chaturthi, Navratri, Baisakhi","Autumn, Summer, Monsoon"
P169,Fashion,Belts,Salvatore Ferragamo,"Gancini Reversible Belt, Black/Brown",293,Eid,"Autumn, Summer"
P170,Electronics,Electric Scooters,Xiaomi,"Mi Electric Scooter 4 Pro, 31mi Range",7483,Baisakhi,"Monsoon, Summer"
P171,Electronics,Wireless Mice,Microsoft,"Surface Precision Mouse, Bluetooth",46840,"Onam, Diwali, Holi","Winter, Summer, Monsoon"
P172,Books,Education,McGraw-Hill,"SAT Prep Book 2023, 5 Practice Tests",899,"Diwali, Raksha Bandhan","Monsoon, Winter"
P173,Clothing,Blazers,Banana Republic,"Mens Slim-Fit Blazer, Italian Wool, Navy",525,Diwali,"Winter, Spring, Monsoon"
P174,Beauty,Face Oil,Biossance,"Squalane + Vitamin C Rose Oil, 1oz",806,Holi,"Monsoon, Summer"
P175,Home & Kitchen,Bakeware,Williams Sonoma,Goldtouch Nonstick Baking Sheet Set,827,"Christmas, Diwali","Autumn, Monsoon, Summer"
P176,Sports & Outdoors,Climbing,Black Diamond,"Momentum Climbing Shoes, Mens 9",271,"Christmas, Holi, Diwali","Autumn, Monsoon, Summer"
P177,Groceries,Canned Soup,Campbell's,"Chicken Noodle Soup, 10.75oz, 12-Pack",187,"Raksha Bandhan, Ganesh Chaturthi","Winter, Autumn, Summer"
P178,Toys & Games,Play Kitchens,KidKraft,"Ultimate Corner Play Kitchen, Wooden",488,Pongal,"Winter, Monsoon"
P179,Fashion,Necklaces,Swarovski,"Swan Pendant Necklace, Rhodium-Plated",481,"Raksha Bandhan, Christmas","Autumn, Spring"
P180,Electronics,USB Hubs,Anker,"7-in-1 USB-C Hub, 4K HDMI, SD Card Reader",23884,"Holi, Diwali, Christmas","Summer, Monsoon, Winter"
P181,Electronics,Electric Toothbrushes,Philips,"Sonicare 4100, Pressure Sensor",36725,Christmas,"Summer, Monsoon"
P182,Books,Thriller,St. Martin's Press,The Silent Patient by Alex Michaelides,1043,"Baisakhi, Eid","Spring, Autumn"
P183,Clothing,Leggings,Alo Yoga,"Airbrush High-Waist Leggings, Womens Size 8",986,"Eid, Christmas, Holi","Winter, Autumn"
P184,Beauty,Mascara,L'Oreal,"Voluminous Lash Paradise, Blackest Black",189,"Onam, Pongal, Eid","Winter, Spring, Summer"
P185,Home & Kitchen,Fire Pits,Solo Stove,"Bonfire 2.0, Smokeless, Stainless Steel",462,"Christmas, Diwali, Onam","Monsoon, Autumn"
P186,Sports & Outdoors,Running,Nike,"Air Zoom Pegasus 39, Womens Size 7.5",405,"Navratri, Christmas, Holi","Autumn, Monsoon, Summer"
P187,Groceries,Cookies,Oreo,"Double Stuf Chocolate Sandwich Cookies, 15.35oz",876,"Pongal, Eid, Diwali","Autumn, Winter, Spring"
P188,Toys & Games,Play Tents,Playwild,"Kids Pop-Up Tent with Tunnel, Dinosaur Theme",324,"Onam, Diwali, Holi","Spring, Autumn"
P189,Fashion,Earrings,Kendra Scott,"Elisa Pendant Earrings, Gold-Tone",271,Baisakhi,"Summer, Winter"
P190,Electronics,Car Chargers,AUKEY,"USB-C Car Charger, 30W, Dual Ports",22982,"Baisakhi, Ganesh Chaturthi, Eid","Monsoon, Summer, Winter"
P191,Electronics,Binoculars,Nikon,"Prostaff P7 10x42, Waterproof, Fogproof",21672,"Holi, Raksha Bandhan, Christmas","Monsoon, Winter"
